setting,div,grammar,perplexity
1-1,0,100000,24.94
1-1,0,001010,25.95
1-1,0,110101,28.63
1-1,0,011111,25.7
1-1,0,011011,25.3
1-1,0,110001,28.75
1-1,0,001110,26.74
1-1,0,100100,24.87
1-1,0,111000,30.45
1-1,0,010010,29.79
1-1,0,101101,26.45
1-1,0,000111,26.16
1-1,0,000011,26.21
1-1,0,101001,26.73
1-1,0,010110,29.42
1-1,0,111100,30.44
1-1,0,000100,24.62
1-1,0,101110,26.2
1-1,0,010001,28.11
1-1,0,111011,29.27
1-1,0,111111,29.48
1-1,0,010101,29.48
1-1,0,101010,26.56
1-1,0,000000,24.72
1-1,0,011100,25.89
1-1,0,110110,30.51
1-1,0,001001,27.4
1-1,0,100011,24.27
1-1,0,100111,24.03
1-1,0,001101,27.49
1-1,0,110010,30.15
1-1,0,011000,25.96
1-1,1,000111,25.25
1-1,1,101101,24.88
1-1,1,010010,27.74
1-1,1,111000,28.45
1-1,2,100101,24.1
1-1,2,001111,25.92
1-1,2,110000,29.82
1-1,2,011010,26.5
1-1,2,011110,25.91
1-1,2,110100,28.72
1-1,2,001011,25.91
1-1,2,100001,24.43
1-1,1,111100,28.49
1-1,1,010110,27.62
1-1,1,101001,25.37
1-1,1,000011,25.38
1-1,1,011111,24.74
1-1,1,110101,28.54
1-1,1,001010,26.15
1-1,1,100000,23.97
1-1,2,111101,27.46
1-1,2,010111,27.55
1-1,2,101000,26.2
1-1,2,000010,23.86
1-1,2,000110,23.92
1-1,2,101100,26.21
1-1,2,010011,26.62
1-1,2,111001,27.01
1-1,1,100100,23.96
1-1,1,001110,26.29
1-1,1,110001,28.74
1-1,1,011011,24.54
1-1,1,100011,23.48
1-1,1,001001,26.66
1-1,1,110110,29.1
1-1,1,011100,25.09
1-1,2,000001,26.06
1-1,2,101011,24.36
1-1,2,010100,28.07
1-1,2,111110,30.74
1-1,2,111010,30.72
1-1,2,010000,27.91
1-1,2,101111,23.87
1-1,2,000101,26.34
1-1,1,011000,25.22
1-1,1,110010,29.1
1-1,1,001101,28.02
1-1,1,100111,23.05
1-1,1,111011,29.0
1-1,1,010001,26.19
1-1,1,101110,25.67
1-1,1,000100,24.57
